CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,Tenure Group,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Monthly Charges Bucket,Total Charges,Churn
7590-VHVEG,female,0,yes,no,1,0-12,no,No,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,29.85,20,29.85,no
5575-GNVDE,male,0,no,no,34,25-48,yes,no,dsl,yes,no,yes,no,no,no,one year,no,mailed check,56.95,50,1889.5,no
3668-QPYBK,male,0,no,no,2,0-12,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,mailed check,53.85,50,108.15,yes
7795-CFOCW,male,0,no,no,45,25-48,no,No,dsl,yes,no,yes,yes,no,no,one year,no,bank transfer (automatic),42.3,40,1840.75,no
9237-HQITU,female,0,no,no,2,0-12,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.7,70,151.65,yes
9305-CDSKC,female,0,no,no,8,0-12,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,99.65,90,820.5,yes
1452-KIOVK,male,0,no,yes,22,13-24,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,credit card (automatic),89.1,80,1949.4,no
6713-OKOMC,female,0,no,no,10,0-12,no,No,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,29.75,20,301.9,no
7892-POOKP,female,0,yes,no,28,25-48,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,104.8,100,3046.05,yes
6388-TABGU,male,0,no,yes,62,49+,yes,no,dsl,yes,yes,no,no,no,no,one year,no,bank transfer (automatic),56.15,50,3487.95,no
9763-GRSKD,male,0,yes,yes,13,13-24,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,49.95,40,587.45,no
7469-LKBCI,male,0,no,no,16,13-24,yes,no,no,No,No,No,No,No,No,two year,no,credit card (automatic),18.95,10,326.8,no
8091-TTVAX,male,0,yes,no,58,49+,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,no,credit card (automatic),100.35,100,5681.1,no
0280-XJGEX,male,0,no,no,49,49+,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),103.7,100,5036.3,yes
5129-JLPIS,male,0,no,no,25,25-48,yes,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,electronic check,105.5,100,2686.05,no
3655-SNQYZ,female,0,yes,yes,69,49+,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),113.25,110,7895.15,no
8191-XWSZG,female,0,no,no,52,49+,yes,no,no,No,No,No,No,No,No,one year,no,mailed check,20.65,20,1022.95,no
9959-WOFKT,male,0,no,yes,71,49+,yes,yes,fiber optic,yes,no,yes,no,yes,yes,two year,no,bank transfer (automatic),106.7,100,7382.25,no
4190-MFLUW,female,0,yes,yes,10,0-12,yes,no,dsl,no,no,yes,yes,no,no,month-to-month,no,credit card (automatic),55.2,50,528.35,yes
4183-MYFRB,female,0,no,no,21,13-24,yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,90.05,90,1862.9,no
8779-QRDMV,male,1,no,no,1,0-12,no,No,dsl,no,no,yes,no,no,yes,month-to-month,yes,electronic check,39.65,30,39.65,yes
1680-VDCWW,male,0,yes,no,12,0-12,yes,no,no,No,No,No,No,No,No,one year,no,bank transfer (automatic),19.8,10,202.25,no
1066-JKSGK,male,0,no,no,1,0-12,yes,no,no,No,No,No,No,No,No,month-to-month,no,mailed check,20.15,20,20.15,yes
3638-WEABW,female,0,yes,no,58,49+,yes,yes,dsl,no,yes,no,yes,no,no,two year,yes,credit card (automatic),59.9,50,3505.1,no
6322-HRPFA,male,0,yes,yes,49,49+,yes,no,dsl,yes,yes,no,yes,no,no,month-to-month,no,credit card (automatic),59.6,50,2970.3,no
6865-JZNKO,female,0,no,no,30,25-48,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,bank transfer (automatic),55.3,50,1530.6,no
6467-CHFZW,male,0,yes,yes,47,25-48,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,99.35,90,4749.15,yes
8665-UTDHZ,male,0,yes,yes,1,0-12,no,No,dsl,no,yes,no,no,no,no,month-to-month,no,electronic check,30.2,30,30.2,yes
5248-YGIJN,male,0,yes,no,72,49+,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),90.25,90,6369.45,no
8773-HHUOZ,female,0,no,yes,17,13-24,yes,no,dsl,no,no,no,no,yes,yes,month-to-month,yes,mailed check,64.7,60,1093.1,yes
3841-NFECX,female,1,yes,no,71,49+,yes,yes,fiber optic,yes,yes,yes,yes,no,no,two year,yes,credit card (automatic),96.35,90,6766.95,no
4929-XIHVW,male,1,yes,no,2,0-12,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,credit card (automatic),95.5,90,181.65,no
6827-IEAUQ,female,0,yes,yes,27,25-48,yes,no,dsl,yes,yes,yes,yes,no,no,one year,no,mailed check,66.15,60,1874.45,no
7310-EGVHZ,male,0,no,no,1,0-12,yes,no,no,No,No,No,No,No,No,month-to-month,no,bank transfer (automatic),20.2,20,20.2,no
3413-BMNZE,male,1,no,no,1,0-12,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),45.25,40,45.25,no
6234-RAAPL,female,0,yes,yes,72,49+,yes,yes,fiber optic,yes,yes,no,yes,yes,no,two year,no,bank transfer (automatic),99.9,90,7251.7,no
6047-YHPVI,male,0,no,no,5,0-12,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.7,60,316.9,yes
6572-ADKRS,female,0,no,no,46,25-48,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,credit card (automatic),74.8,70,3548.3,no
5380-WJKOV,male,0,no,no,34,25-48,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,106.35,100,3549.25,yes
8168-UQWWF,female,0,no,no,11,0-12,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),97.85,90,1105.4,yes
8865-TNMNX,male,0,yes,yes,10,0-12,yes,no,dsl,no,yes,no,no,no,no,one year,no,mailed check,49.55,40,475.7,no
9489-DEDVP,female,0,yes,yes,70,49+,yes,yes,dsl,yes,yes,no,no,yes,no,two year,yes,credit card (automatic),69.2,60,4872.35,no
